timestamp,hpa-current,hpa-target,hpa-desired,replicas-ready,pod,cpu-millicores,memory-bytes
2026-09-03T09:36:54.1503334+08:00,1,7,1,1,marketplace-service-84786c7f9-2rszz,,
2026-09-03T09:37:00.1360077+08:00,1,7,1,1,marketplace-service-84786c7f9-2rszz,,
2026-09-03T09:37:05.8958092+08:00,1,7,1,1,marketplace-service-84786c7f9-2rszz,,
2026-09-03T09:37:11.6759449+08:00,1,7,1,1,marketplace-service-84786c7f9-2rszz,,
2026-09-03T09:37:17.4680768+08:00,1,7,1,1,marketplace-service-84786c7f9-2rszz,,
2026-09-03T09:37:23.4764495+08:00,1,7,1,1,marketplace-service-84786c7f9-2rszz,,
2026-09-03T09:37:29.3226759+08:00,1,7,1,1,marketplace-service-84786c7f9-2rszz,,
2026-09-03T09:37:35.2430562+08:00,1,46,1,1,marketplace-service-84786c7f9-2rszz,,
2026-09-03T09:37:41.1499642+08:00,1,46,1,1,marketplace-service-84786c7f9-2rszz,,
2026-09-03T09:37:47.0649988+08:00,1,748,5,1,marketplace-service-84786c7f9-2rszz,,
2026-09-03T09:37:47.0649988+08:00,1,748,5,1,marketplace-service-84786c7f9-cq67t,,
2026-09-03T09:37:47.0649988+08:00,1,748,5,1,marketplace-service-84786c7f9-dvtsz,,
2026-09-03T09:37:47.0649988+08:00,1,748,5,1,marketplace-service-84786c7f9-f2mhh,,
2026-09-03T09:37:47.0649988+08:00,1,748,5,1,marketplace-service-84786c7f9-fjlzt,,
2026-09-03T09:37:54.8212119+08:00,1,748,5,1,marketplace-service-84786c7f9-2rszz,,
2026-09-03T09:37:54.8212119+08:00,1,748,5,1,marketplace-service-84786c7f9-cq67t,,
2026-09-03T09:37:54.8212119+08:00,1,748,5,1,marketplace-service-84786c7f9-dvtsz,,
2026-09-03T09:37:54.8212119+08:00,1,748,5,1,marketplace-service-84786c7f9-f2mhh,,
2026-09-03T09:37:54.8212119+08:00,1,748,5,1,marketplace-service-84786c7f9-fjlzt,,
2026-09-03T09:38:02.2892927+08:00,5,371,5,1,marketplace-service-84786c7f9-2rszz,,
2026-09-03T09:38:02.2892927+08:00,5,371,5,1,marketplace-service-84786c7f9-cq67t,,
2026-09-03T09:38:02.2892927+08:00,5,371,5,1,marketplace-service-84786c7f9-dvtsz,,
2026-09-03T09:38:02.2892927+08:00,5,371,5,1,marketplace-service-84786c7f9-f2mhh,,
2026-09-03T09:38:02.2892927+08:00,5,371,5,1,marketplace-service-84786c7f9-fjlzt,,
2026-09-03T09:38:09.9712790+08:00,5,371,5,1,marketplace-service-84786c7f9-2rszz,,
2026-09-03T09:38:09.9712790+08:00,5,371,5,1,marketplace-service-84786c7f9-cq67t,,
2026-09-03T09:38:09.9712790+08:00,5,371,5,1,marketplace-service-84786c7f9-dvtsz,,
2026-09-03T09:38:09.9712790+08:00,5,371,5,1,marketplace-service-84786c7f9-f2mhh,,
2026-09-03T09:38:09.9712790+08:00,5,371,5,1,marketplace-service-84786c7f9-fjlzt,,
2026-09-03T09:38:17.3617262+08:00,5,298,5,3,marketplace-service-84786c7f9-2rszz,,
2026-09-03T09:38:17.3617262+08:00,5,298,5,3,marketplace-service-84786c7f9-cq67t,,
2026-09-03T09:38:17.3617262+08:00,5,298,5,3,marketplace-service-84786c7f9-dvtsz,,
2026-09-03T09:38:17.3617262+08:00,5,298,5,3,marketplace-service-84786c7f9-f2mhh,,
2026-09-03T09:38:17.3617262+08:00,5,298,5,3,marketplace-service-84786c7f9-fjlzt,,
2026-09-03T09:38:24.4680112+08:00,5,298,5,5,marketplace-service-84786c7f9-2rszz,,
2026-09-03T09:38:24.4680112+08:00,5,298,5,5,marketplace-service-84786c7f9-cq67t,,
2026-09-03T09:38:24.4680112+08:00,5,298,5,5,marketplace-service-84786c7f9-dvtsz,,
2026-09-03T09:38:24.4680112+08:00,5,298,5,5,marketplace-service-84786c7f9-f2mhh,,
2026-09-03T09:38:24.4680112+08:00,5,298,5,5,marketplace-service-84786c7f9-fjlzt,,
