timestamp,hpa-current,hpa-target,hpa-desired,replicas-ready,pod,cpu-millicores,memory-bytes
2026-09-02T23:22:18.2812977+08:00,1,9,1,1,marketplace-service-84786c7f9-2rszz,,
2026-09-02T23:22:24.2981462+08:00,1,9,1,1,marketplace-service-84786c7f9-2rszz,,
2026-09-02T23:22:29.9965541+08:00,1,9,1,1,marketplace-service-84786c7f9-2rszz,,
2026-09-02T23:22:35.8269745+08:00,1,9,1,1,marketplace-service-84786c7f9-2rszz,,
2026-09-02T23:22:41.6682700+08:00,1,9,1,1,marketplace-service-84786c7f9-2rszz,,
2026-09-02T23:22:47.4820704+08:00,1,4,1,1,marketplace-service-84786c7f9-2rszz,,
2026-09-02T23:22:53.1934842+08:00,1,4,1,1,marketplace-service-84786c7f9-2rszz,,
2026-09-02T23:22:58.9320176+08:00,1,4,1,1,marketplace-service-84786c7f9-2rszz,,
2026-09-02T23:23:04.6722061+08:00,1,4,1,1,marketplace-service-84786c7f9-2rszz,,
2026-09-02T23:23:10.4683859+08:00,1,4,1,1,marketplace-service-84786c7f9-2rszz,,
2026-09-02T23:23:16.2758822+08:00,1,3,1,1,marketplace-service-84786c7f9-2rszz,,
2026-09-02T23:23:22.0149524+08:00,1,3,1,1,marketplace-service-84786c7f9-2rszz,,
2026-09-02T23:23:27.7538808+08:00,1,4,1,1,marketplace-service-84786c7f9-2rszz,,
2026-09-02T23:23:33.5501734+08:00,1,4,1,1,marketplace-service-84786c7f9-2rszz,,
2026-09-02T23:23:39.2307492+08:00,1,4,1,1,marketplace-service-84786c7f9-2rszz,,
2026-09-02T23:23:44.9981811+08:00,1,4,1,1,marketplace-service-84786c7f9-2rszz,,
2026-09-02T23:23:51.0036634+08:00,1,4,1,1,marketplace-service-84786c7f9-2rszz,,
2026-09-02T23:23:57.1811394+08:00,1,3,1,1,marketplace-service-84786c7f9-2rszz,,
2026-09-02T23:24:03.1825826+08:00,1,3,1,1,marketplace-service-84786c7f9-2rszz,,
2026-09-02T23:24:09.3828239+08:00,1,3,1,1,marketplace-service-84786c7f9-2rszz,,
2026-09-02T23:24:15.1534534+08:00,1,6,1,1,marketplace-service-84786c7f9-2rszz,,
2026-09-02T23:24:20.9365487+08:00,1,6,1,1,marketplace-service-84786c7f9-2rszz,,
2026-09-02T23:24:26.8052585+08:00,1,6,1,1,marketplace-service-84786c7f9-2rszz,,
2026-09-02T23:24:32.6780342+08:00,1,3,1,1,marketplace-service-84786c7f9-2rszz,,
2026-09-02T23:24:38.5653839+08:00,1,3,1,1,marketplace-service-84786c7f9-2rszz,,
2026-09-02T23:24:44.5239781+08:00,1,5,1,1,marketplace-service-84786c7f9-2rszz,,
2026-09-02T23:24:50.4234124+08:00,1,5,1,1,marketplace-service-84786c7f9-2rszz,,
2026-09-02T23:24:56.3708582+08:00,1,5,1,1,marketplace-service-84786c7f9-2rszz,,
